ano,instituicao,titulo,autor,link
2019,Universidade de São Paulo,A Redação Virtual E As Rotinas Produtivas Nos Novos Arranjos Econômicos Alternativos Às Corporações De Mídia,"SILVA, Ana Flávia Marques da",http://www2.eca.usp.br/comunicacaoetrabalho/wp-content/uploads/A-reda%C3%A7%C3%A3o-virtual-e-as-rotinas-produtivas-dos-arranjos-econ%C3%B4micos-de-comunica%C3%A7%C3%A3o-alternativos-%C3%A0s-corpora%C3%A7%C3%B5es-de-m%C3%ADdia.pdf
2019,Universidade Federal do Pará,Belém também é afro: tensões discursivas na Amazônia urbana,"SARRAF, Moisés Taate Alves",http://repositorio.ufpa.br:8080/jspui/handle/2011/11457
2019,Universidade Federal do Maranhão,Capital FM de Cuiabá e a cobertura eleitoral de 2018: o radiojornalismo em contexto de periferia,"CHAGAS, Luãn José Vaz",https://d1wqtxts1xzle7.cloudfront.net/60983838/2019_Ebook_ComunicacaoPolitica20191022-80574-1ak55oc.pdf?1571752396=&response-content-disposition=inline%3B+filename%3D2019_livro_Comunicacao_e_Politica_Interf.pdf&Expires=1610051422&Signature=Tei4bUd1WsvWaYTnqhy1~fnvoYzydHv4H4ub9f2Q5-hLBnRCexkQnKLoVuAFkszy42aTmqskfNDLVF6PZSETuSRELhIntWzeldyf2GHfW~evq7ybUs~Cy5sP1UL-ewGtjFQ-sYvO~KABnhHYgTMo1DBgyGxRbTHTeY4XaVyfNCW7q4gFsI6INNCwDwl61pPdEAFSn695Oyj5ftprk1rynvXNcaNrJbuL3e-niuhzbNZg0k98YGX4l2a3BBtoKlReqJx3GV1mn0a7EWVT6Q6A60mhq9~P9KAB5HbgzBslukhIc~3~WRuUOyde7ovg322ku6EXLCxusA6ZiDWoZCc~cw__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA#page=89
2019,Universidade Fernando Pessoa; ICNOVA,"Cenários e alternativas na viabilidade econômica da atividade jornalística no Brasil","SERPA, Leoní; WEBER, Patrícia; SOUSA, Jorge Pedro",http://www.revistaej.sopcom.pt/ficheiros/20200101-ej10_2019.pdf#page=35
2019,Universidade de São Paulo,Conglomerados midiáticos regionais: os meios de comunicação como meios de produção na territorialização do capital,"BARROS, Janaina Visibeli",https://www.teses.usp.br/teses/disponiveis/27/27152/tde-24052019-102718/publico/JanainaVisibeliBarros.pdf
2019,Universidade Federal Fluminense,Contribuições da teoria das localidades centrais para o estudo da mídia no espaço,"DEOLINDO, Jacqueline da Silva ",http://www.portcom.intercom.org.br/ebooks/arquivos/10_anos_geografia28082019.pdf
2019,Universidade de São Carlos,"Desinformação E As Fake News: Apontamentos Sobre Seu Surgimento, Detecção E Formas De Combate","FURNIVAL, Ariadne Chloe Mary; SANTOS, Tábita",http://www.ucs.br/etc/revistas/index.php/conexao/article/view/9485
2019,Universidade Federal de Sergipe,Do impresso ao digital : o processo de transição no jornalismo local e do “interior”,"SANTOS, Ednilson Barbosa",https://ri.ufs.br/jspui/handle/riufs/11946
2019,Universidade Federal de Santa Catarina,"Hegemonia, Jornalismo e Conhecimento: possíveis leituras sobre práxis contra-hegemônica","PEIXOTO, Clarissa do Nascimento",https://repositorio.ufsc.br/bitstream/handle/123456789/214492/PJOR0142-D.pdf?sequence=-1&isAllowed=y
2019,Universidade Federal de Santa Catarina,Jornalismo de inovação: os Estudos de Tendências como ferramenta de pesquisa,"FLORES, Ana Marta Moreira ",https://repositorio.ufsc.br/handle/123456789/214947
2019,Universidade de São Paulo,"Jornalismo em retração, poder em expansão: como o encolhimento das redações e o uso crescente de redes sociais por governantes podem degradar o ambiente informativo e prejudicar a democracia","GANDOUR, Ricardo",https://www.teses.usp.br/teses/disponiveis/27/27153/tde-23072019-114456/publico/RicardoGandour.pdf
2019,Universidade Federal do Sul e Sudeste do Pará,Jornalismo Universitário No Interior Da Amazônia Oriental: O Caso Experimental Do Rondon Notícias,"SOUZA, Elaine Javorski; BARROSO, Livia Moreira; ALVES, Jussara",https://sistemas.uft.edu.br/periodicos/index.php/atura/article/view/7782/16242
2019,California State University,Leading Newspapers in Brazil as Political Actors (1994-present),"HERSCOVITZ, Heloiza G. ",http://www3.tau.ac.il/ojs/index.php/eial/article/view/1629/1756
2019,ESPM,Mundo do trabalho do jornalista: novas perspectivas para profissionais e empresas,"ANTONIOLI, Maria Elisabete ",https://pesquisa.espm.br/wp-content/uploads/2019/12/47_PDFsam_Pesquisa_que_transforma_virtual.pdf
2019,Universidade Federal do Piauí,"O blog está morto? Uma reflexão sobre a blogosfera na atualidade1","BARROS, Jordana Fonseca; CARVALHO, Samantha Viana Castelo Branco Rocha",https://portalintercom.org.br/anais/nordeste2019/resumos/R67-0022-1.pdf
2019,Universidade de Lisboa,"O impacto do Jornalismo Colaborativo no exercício da profissão na atualidade Análise comparada das plataformas ICIJ, Investigate Europe e Connectas","MESQUITA, Lúcia Monteiro",https://www.repository.utl.pt/handle/10400.5/17820
2019,Universidade Estadual de Ponta Grossa,O Observatório da Imprensa como espaço de crítica de mídia: análise dos textos da seção Imprensa em Questão,"HRENECHEN, Vanessa Cristina de Abreu Torres",http://tede2.uepg.br/jspui/handle/prefix/3165
2019,Universidade de Santa Cruz do Sul,"O processo de convergência jornalística no Grupo Arauto de Comunicação, de Vera Cruz/RS, sob o olhar de quatro dimensões : profissional, editorial, empresarial e tecnológica.","BATISTA, Lucas Miguel",https://repositorio.unisc.br/jspui/bitstream/11624/2562/1/Lucas%20Miguel%20Batista.pdf
