Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
313980,3139805,MAR DE ESPANHA,n/d,MG,Sudeste,1,8.6,Brasil,11684,0.684,0.402,0.558,0.825,0.694,598.93
521280,5212808,MARA ROSA,n/d,GO,Centro-Oeste,1,9.4,Brasil,10615,0.691,0.375,0.579,0.838,0.68,548.96
352870,3528700,MARABÁ PAULISTA,n/d,SP,Sudeste,1,27.9,Brasil,3586,0.677,0.396,0.591,0.809,0.65,457.56
500540,5005400,MARACAJU,n/d,MS,Centro-Oeste,1,2.7,Brasil,37045,0.736,0.517,0.613,0.873,0.744,819.6
352880,3528809,MARACAÍ,n/d,SP,Sudeste,1,7.5,Brasil,13307,0.771,0.576,0.758,0.85,0.711,666.65
292050,2920502,MARACÁS,n/d,BA,Nordeste,1,4.1,Brasil,24527,0.607,0.334,0.519,0.747,0.577,290.11
431180,4311809,MARAU,n/d,RS,Sul,1,2.8,Brasil,36196,0.774,0.61,0.699,0.857,0.773,980.92
421050,4210506,MARAVILHA,n/d,SC,Sul,1,4.6,Brasil,21897,0.781,0.562,0.708,0.886,0.758,896.02
431190,4311908,MARCELINO RAMOS,n/d,RS,Sul,1,19.8,Brasil,5059,0.724,0.426,0.618,0.834,0.735,777.41
510558,5105580,MARCELÂNDIA,n/d,MT,Centro-Oeste,1,8.4,Brasil,11938,0.701,0.444,0.604,0.813,0.7,621.76
313990,3139904,MARIA DA FÉ,n/d,MG,Sudeste,1,7.1,Brasil,14152,0.702,0.417,0.637,0.842,0.646,445.11
431200,4312005,MARIANO MORO,n/d,RS,Sul,1,45.4,Brasil,2205,0.73,0.391,0.604,0.843,0.763,925.46
270480,2704807,MARIBONDO,n/d,AL,Nordeste,1,7.3,Brasil,13609,0.597,0.284,0.487,0.751,0.581,297.05
330270,3302700,MARICÁ,RM Rio de Janeiro,RJ,Sudeste,1,0.8,Brasil,127228,0.765,0.655,0.692,0.85,0.761,910.41
314010,3140100,MARILAC,n/d,MG,Sudeste,1,23.8,Brasil,4209,0.615,0.321,0.488,0.781,0.609,354.33
314020,3140209,MARIPÁ DE MINAS,n/d,MG,Sudeste,1,36.0,Brasil,2777,0.68,0.345,0.555,0.847,0.668,510.92
314030,3140308,MARLIÉRIA,n/d,MG,Sudeste,1,25.2,Brasil,3975,0.657,0.36,0.537,0.838,0.629,401.74
270500,2705002,MATA GRANDE,n/d,AL,Nordeste,1,4.1,Brasil,24637,0.504,0.202,0.369,0.685,0.506,186.87
210640,2106409,MATA ROMA,n/d,MA,Nordeste,1,6.6,Brasil,15126,0.57,0.365,0.494,0.776,0.483,161.49
250930,2509305,MATARACA,n/d,PB,Nordeste,1,13.6,Brasil,7354,0.536,0.28,0.427,0.675,0.533,219.95
314060,3140605,MATERLÂNDIA,n/d,MG,Sudeste,1,21.9,Brasil,4568,0.597,0.277,0.497,0.769,0.557,255.52
210650,2106508,MATINHA,n/d,MA,Nordeste,1,4.6,Brasil,21821,0.619,0.415,0.56,0.731,0.579,294.51
314090,3140902,MATIPÓ,n/d,MG,Sudeste,1,5.7,Brasil,17495,0.631,0.308,0.511,0.78,0.63,403.48
314100,3141009,MATO VERDE,n/d,MG,Sudeste,1,7.9,Brasil,12620,0.662,0.369,0.61,0.789,0.604,343.76
421070,4210704,MATOS COSTA,n/d,SC,Sul,1,35.2,Brasil,2839,0.657,0.321,0.541,0.831,0.63,402.83
270510,2705101,MATRIZ DE CAMARAGIBE,n/d,AL,Nordeste,1,4.2,Brasil,23689,0.584,0.314,0.473,0.777,0.541,231.82
314120,3141207,MATUTINA,n/d,MG,Sudeste,1,26.7,Brasil,3749,0.707,0.334,0.552,0.859,0.744,820.03
521300,5213004,MAURILÂNDIA,n/d,GO,Centro-Oeste,1,8.8,Brasil,11399,0.677,0.408,0.554,0.823,0.682,557.51
431220,4312203,MAXIMILIANO DE ALMEIDA,n/d,RS,Sul,1,20.4,Brasil,4901,0.699,0.373,0.591,0.825,0.699,620.58
292110,2921104,MEDEIROS NETO,n/d,BA,Nordeste,1,4.6,Brasil,21512,0.625,0.331,0.501,0.777,0.626,392.49
411580,4115804,MEDIANEIRA,n/d,PR,Sul,1,2.4,Brasil,41568,0.763,0.546,0.686,0.849,0.762,914.67
330280,3302809,MENDES,n/d,RJ,Sudeste,1,5.6,Brasil,17886,0.736,0.611,0.7,0.806,0.707,649.4
314150,3141504,MENDES PIMENTEL,n/d,MG,Sudeste,1,15.8,Brasil,6318,0.626,0.306,0.518,0.768,0.617,372.96
314160,3141603,MERCÊS,n/d,MG,Sudeste,1,9.7,Brasil,10313,0.664,0.339,0.515,0.831,0.683,561.75
314170,3141702,MESQUITA,n/d,MG,Sudeste,1,16.5,Brasil,6069,0.656,0.315,0.555,0.796,0.638,424.12
292120,2921203,MIGUEL CALMON,n/d,BA,Nordeste,1,3.8,Brasil,26400,0.586,0.316,0.472,0.745,0.571,279.05
330290,3302908,MIGUEL PEREIRA,n/d,RJ,Sudeste,1,4.1,Brasil,24530,0.745,0.561,0.675,0.828,0.74,801.63
292130,2921302,MILAGRES,n/d,BA,Nordeste,1,9.7,Brasil,10289,0.622,0.34,0.518,0.789,0.59,313.88
320340,3203403,MIMOSO DO SUL,n/d,ES,Sudeste,1,3.9,Brasil,25732,0.67,0.411,0.541,0.827,0.672,523.04
314180,3141801,MINAS NOVAS,n/d,MG,Sudeste,1,3.3,Brasil,30613,0.633,0.349,0.528,0.802,0.6,334.06
314190,3141900,MINDURI,n/d,MG,Sudeste,1,26.1,Brasil,3825,0.658,0.41,0.56,0.805,0.631,404.95
521310,5213103,MINEIROS,n/d,GO,Centro-Oeste,1,1.9,Brasil,52588,0.718,0.474,0.584,0.84,0.753,869.04
