Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
521850.0,5218508.0,QUIRINÓPOLIS,n/d,GO,Centro-Oeste,2,4.68559647643145,Brasil,42684.0,0.74,0.496,0.642,0.863,0.732,761.68
354220.0,3542206.0,RANCHARIA,n/d,SP,Sudeste,2,6.96742727747779,Brasil,28705.0,0.751,0.524,0.683,0.861,0.72,707.37
412140.0,4121406.0,REALEZA,n/d,PR,Sul,2,12.3114804555248,Brasil,16245.0,0.722,0.449,0.63,0.83,0.72,704.94
150613.0,1506138.0,REDENÇÃO,n/d,PA,Norte,2,2.71816686826404,Brasil,73579.0,0.672,0.457,0.561,0.804,0.674,529.54
354260.0,3542602.0,REGISTRO,n/d,SP,Sudeste,2,3.69487705296606,Brasil,54129.0,0.754,0.572,0.702,0.851,0.718,699.41
315430.0,3154309.0,RESPLENDOR,n/d,MG,Sudeste,2,11.8476393578579,Brasil,16881.0,0.67,0.377,0.543,0.833,0.666,504.18
500710.0,5007109.0,RIBAS DO RIO PARDO,n/d,MS,Centro-Oeste,2,9.77947288641142,Brasil,20451.0,0.664,0.39,0.519,0.83,0.681,552.58
330430.0,3304300.0,RIO BONITO,RM Rio de Janeiro,RJ,Sudeste,2,3.64504547194226,Brasil,54869.0,0.71,0.525,0.62,0.819,0.705,643.54
412230.0,4122305.0,RIO NEGRO,n/d,PR,Sul,2,6.43479939512886,Brasil,31081.0,0.76,0.569,0.705,0.863,0.721,709.13
315550.0,3155504.0,RIO PARANAÍBA,n/d,MG,Sudeste,2,17.0082490007654,Brasil,11759.0,0.709,0.35,0.575,0.855,0.725,727.2
292700.0,2927002.0,RIO REAL,n/d,BA,Nordeste,2,5.40204737595549,Brasil,37023.0,0.572,0.298,0.452,0.729,0.568,274.86
431600.0,4316006.0,ROLANTE,RM Porto Alegre,RS,Sul,2,10.3241792277514,Brasil,19372.0,0.688,0.363,0.553,0.83,0.708,656.75
412250.0,4122503.0,RONCADOR,n/d,PR,Sul,2,17.4825174825175,Brasil,11440.0,0.681,0.378,0.595,0.797,0.665,500.36
315690.0,3156908.0,SACRAMENTO,n/d,MG,Sudeste,2,8.43241420018551,Brasil,23718.0,0.732,0.465,0.619,0.871,0.726,732.35
315700.0,3157005.0,SALINAS,n/d,MG,Sudeste,2,5.13795406669064,Brasil,38926.0,0.679,0.364,0.551,0.815,0.697,613.65
354520.0,3545209.0,SALTO,n/d,SP,Sudeste,2,1.90117682845681,Brasil,105198.0,0.78,0.632,0.751,0.837,0.755,876.67
412300.0,4123006.0,SALTO DO LONTRA,n/d,PR,Sul,2,14.6391450739277,Brasil,13662.0,0.718,0.424,0.625,0.839,0.707,650.57
431670.0,4316709.0,SANTA BÁRBARA DO SUL,n/d,RS,Sul,2,22.6731663076749,Brasil,8821.0,0.725,0.494,0.634,0.841,0.716,689.09
354630.0,3546306.0,SANTA CRUZ DAS PALMEIRAS,n/d,SP,Sudeste,2,6.70600858369099,Brasil,29824.0,0.728,0.48,0.635,0.815,0.746,829.66
354660.0,3546603.0,SANTA FÉ DO SUL,n/d,SP,Sudeste,2,6.87734259482136,Brasil,29081.0,0.784,0.579,0.751,0.84,0.763,924.06
412350.0,4123501.0,SANTA HELENA,n/d,PR,Sul,2,8.56971462850287,Brasil,23338.0,0.744,0.496,0.678,0.823,0.738,791.53
521930.0,5219308.0,SANTA HELENA DE GOIÁS,n/d,GO,Centro-Oeste,2,5.52196361025981,Brasil,36219.0,0.724,0.479,0.627,0.823,0.734,769.09
412370.0,4123709.0,SANTA ISABEL DO IVAÍ,n/d,PR,Sul,2,22.9489386115892,Brasil,8715.0,0.72,0.473,0.656,0.817,0.697,610.69
292810.0,2928109.0,SANTA MARIA DA VITÓRIA,n/d,BA,Nordeste,2,4.97401079360342,Brasil,40209.0,0.614,0.358,0.516,0.758,0.592,318.31
231220.0,2312205.0,SANTA QUITÉRIA,n/d,CE,Nordeste,2,4.68834243653156,Brasil,42659.0,0.616,0.364,0.553,0.775,0.546,238.84
354750.0,3547502.0,SANTA RITA DO PASSA QUATRO,n/d,SP,Sudeste,2,7.67224182906245,Brasil,26068.0,0.775,0.595,0.686,0.887,0.764,930.59
315960.0,3159605.0,SANTA RITA DO SAPUCAÍ,n/d,MG,Sudeste,2,5.34702170890814,Brasil,37404.0,0.721,0.515,0.62,0.83,0.727,738.4
315980.0,3159803.0,SANTA VITÓRIA,n/d,MG,Sudeste,2,11.1222333444556,Brasil,17982.0,0.71,0.413,0.576,0.865,0.718,698.7
270800.0,2708006.0,SANTANA DO IPANEMA,n/d,AL,Nordeste,2,4.47347230920641,Brasil,44708.0,0.591,0.336,0.463,0.77,0.579,293.85
412410.0,4124103.0,SANTO ANTÔNIO DA PLATINA,n/d,PR,Sul,2,4.71020465839241,Brasil,42461.0,0.718,0.515,0.617,0.817,0.733,765.04
292870.0,2928703.0,SANTO ANTÔNIO DE JESUS,n/d,BA,Nordeste,2,2.21420189092841,Brasil,90326.0,0.7,0.527,0.622,0.815,0.677,540.38
330470.0,3304706.0,SANTO ANTÔNIO DE PÁDUA,n/d,RJ,Sudeste,2,4.94315373208107,Brasil,40460.0,0.718,0.516,0.648,0.806,0.709,657.53
432010.0,4320107.0,SARANDI,n/d,RS,Sul,2,9.48901646344356,Brasil,21077.0,0.777,0.559,0.705,0.858,0.776,1000.86
292990.0,2929909.0,SEABRA,n/d,BA,Nordeste,2,4.81637567730283,Brasil,41525.0,0.635,0.414,0.572,0.761,0.588,310.95
293010.0,2930105.0,SENHOR DO BONFIM,n/d,BA,Nordeste,2,2.69389294469438,Brasil,74242.0,0.666,0.482,0.599,0.773,0.638,422.89
432040.0,4320404.0,SERAFINA CORRÊA,n/d,RS,Sul,2,14.0676654709151,Brasil,14217.0,0.76,0.568,0.69,0.843,0.755,877.24
251550.0,2515500.0,SERRA BRANCA,n/d,PB,Nordeste,2,15.4595346680065,Brasil,12937.0,0.628,0.347,0.537,0.77,0.598,330.05
421760.0,4217600.0,SIDERÓPOLIS,n/d,SC,Sul,2,15.4142581888247,Brasil,12975.0,0.774,0.551,0.701,0.88,0.751,855.02
293070.0,2930709.0,SIMÕES FILHO,n/d,BA,Nordeste,2,1.70494262868054,Brasil,117306.0,0.675,0.568,0.591,0.813,0.641,431.97
412660.0,4126603.0,SIQUEIRA CAMPOS,n/d,PR,Sul,2,10.8748844543527,Brasil,18391.0,0.704,0.42,0.588,0.839,0.708,655.16
421770.0,4217709.0,SOMBRIO,n/d,SC,Sul,2,7.52162467092892,Brasil,26590.0,0.728,0.475,0.617,0.858,0.729,746.69
510792.0,5107925.0,SORRISO,n/d,MT,Centro-Oeste,2,3.02430025252907,Brasil,66131.0,0.744,0.516,0.635,0.839,0.774,988.74
251630.0,2516300.0,SUMÉ,n/d,PB,Nordeste,2,12.5125125125125,Brasil,15984.0,0.627,0.352,0.534,0.765,0.602,339.68
261450.0,2614501.0,SURUBIM,n/d,PE,Nordeste,2,3.42237204606513,Brasil,58439.0,0.635,0.376,0.548,0.756,0.617,372.11
231230.0,2312304.0,SÃO BENEDITO,n/d,CE,Nordeste,2,4.54132606721163,Brasil,44040.0,0.611,0.345,0.531,0.764,0.562,263.94
421580.0,4215802.0,SÃO BENTO DO SUL,n/d,SC,Sul,2,2.68445565950364,Brasil,74503.0,0.782,0.634,0.719,0.871,0.763,923.29
354870.0,3548708.0,SÃO BERNARDO DO CAMPO,RM São Paulo,SP,Sudeste,2,0.262693687339346,Brasil,761343.0,0.805,0.702,0.752,0.861,0.807,1212.65
431800.0,4318002.0,SÃO BORJA,n/d,RS,Sul,2,3.27139492279508,Brasil,61136.0,0.736,0.527,0.643,0.86,0.72,705.72
421600.0,4216008.0,SÃO CARLOS,n/d,SC,Sul,2,19.5198126097989,Brasil,10246.0,0.769,0.505,0.688,0.867,0.763,924.02
