id,cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
id5783,MARÍLIA,Jornal,352900,7,n/d,SP,São Paulo,SE,Brasil,213999,953.2,0.673,0.798,0.776,0.854,0.768
id4366,OURINHOS,Jornal,353470,7,n/d,SP,São Paulo,SE,Brasil,102702,868.91,0.601,0.778,0.727,0.859,0.753
id5015,POÁ,Jornal,353980,7,RM São Paulo,SP,São Paulo,SE,Brasil,105717,664.31,0.677,0.771,0.754,0.856,0.71
id5819,SÃO JOSÉ DO RIO PRETO,Jornal,354980,7,n/d,SP,São Paulo,SE,Brasil,405342,1169.16,0.661,0.797,0.748,0.846,0.801
id5760,SOROCABA,Jornal,355220,7,n/d,SP,São Paulo,SE,Brasil,581667,1107.19,0.677,0.798,0.762,0.843,0.792
id5675,CASCAVEL,Jornal,410480,7,n/d,PR,Paraná,S,Brasil,281772,1003.38,0.63,0.782,0.728,0.846,0.776
id5384,BRAÇO DO NORTE,Jornal,420280,7,n/d,SC,Santa Catarina,S,Brasil,28879,831.77,0.59,0.778,0.716,0.881,0.746
id5425,INDAIAL,Jornal,420750,7,n/d,SC,Santa Catarina,S,Brasil,54716,945.33,0.574,0.777,0.701,0.873,0.767
id5709,ITAPEMA,Jornal,420830,7,n/d,SC,Santa Catarina,S,Brasil,45573,1078.48,0.656,0.796,0.727,0.881,0.788
id5441,LAGES,Jornal,420930,7,n/d,SC,Santa Catarina,S,Brasil,156106,878.34,0.608,0.77,0.697,0.867,0.755
id5445,LAGUNA,Jornal,420940,7,n/d,SC,Santa Catarina,S,Brasil,51471,684.42,0.536,0.752,0.682,0.871,0.715
id5480,SÃO BENTO DO SUL,Jornal,421580,7,n/d,SC,Santa Catarina,S,Brasil,74503,923.29,0.634,0.782,0.719,0.871,0.763
id5497,SÃO MIGUEL DO OESTE,Jornal,421720,7,n/d,SC,Santa Catarina,S,Brasil,36117,1072.6,0.611,0.801,0.739,0.884,0.787
id5513,VIDEIRA,Jornal,421930,7,n/d,SC,Santa Catarina,S,Brasil,46820,978.07,0.592,0.764,0.675,0.857,0.772
id5169,BENTO GONÇALVES,Jornal,430210,7,n/d,RS,Rio Grande do Sul,S,Brasil,106666,1196.56,0.614,0.778,0.695,0.842,0.805
id5239,GUAÍBA,Jornal,430930,7,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,95003,758.83,0.6,0.73,0.639,0.833,0.732
id5868,NOVO HAMBURGO,Jornal,431340,7,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,237941,1011.62,0.552,0.747,0.629,0.852,0.778
id564,ANÁPOLIS,Jornal,520110,7,n/d,GO,Goiás,CO,Brasil,333067,785.17,0.609,0.737,0.66,0.822,0.737
id2275,NATAL,Jornal,240810,6,n/d,RN,Rio Grande do Norte,NE,Brasil,797986,950.34,0.659,0.763,0.694,0.835,0.768
id1457,JOÃO PESSOA,Jornal,250750,6,n/d,PB,Paraíba,NE,Brasil,713290,964.82,0.663,0.763,0.693,0.832,0.77
id5813,ARACAJU,Jornal,280030,6,n/d,SE,Sergipe,NE,Brasil,565274,1052.03,0.695,0.77,0.708,0.823,0.784
id2027,CABO FRIO,Jornal,330070,6,n/d,RJ,Rio de Janeiro,SE,Brasil,185301,815.75,0.606,0.735,0.64,0.836,0.743
id2069,ITAPERUNA,Jornal,330220,6,n/d,RJ,Rio de Janeiro,SE,Brasil,94954,688.83,0.536,0.73,0.649,0.837,0.716
id2127,PETRÓPOLIS,Jornal,330390,6,n/d,RJ,Rio de Janeiro,SE,Brasil,294326,922.49,0.566,0.745,0.639,0.847,0.763
id5665,ASSIS,Jornal,350400,6,n/d,SP,São Paulo,SE,Brasil,93038,967.39,0.689,0.805,0.781,0.865,0.771
id5561,BRAGANÇA PAULISTA,Jornal,350760,6,n/d,SP,São Paulo,SE,Brasil,145407,974.08,0.623,0.776,0.704,0.861,0.772
id4053,CAÇAPAVA,Jornal,350850,6,n/d,SP,São Paulo,SE,Brasil,84377,871.87,0.659,0.788,0.755,0.858,0.754
id5565,CARAPICUÍBA,Jornal,351060,6,RM São Paulo,SP,São Paulo,SE,Brasil,368909,712.78,0.6,0.749,0.693,0.842,0.721
id4117,COTIA,Jornal,351300,6,RM São Paulo,SP,São Paulo,SE,Brasil,199437,1085.66,0.639,0.78,0.707,0.851,0.789
id4125,CUBATÃO,Jornal,351350,6,n/d,SP,São Paulo,SE,Brasil,118004,689.21,0.593,0.737,0.681,0.821,0.716
id5569,FERNANDÓPOLIS,Jornal,351550,6,n/d,SP,São Paulo,SE,Brasil,64444,944,0.595,0.797,0.758,0.872,0.767
id4178,GUARUJÁ,Jornal,351870,6,n/d,SP,São Paulo,SE,Brasil,290055,745,0.594,0.751,0.679,0.854,0.729
id5876,APUCARANA,Jornal,410140,6,n/d,PR,Paraná,S,Brasil,120486,804.81,0.548,0.748,0.668,0.845,0.741
