Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
431550,4315503,RESTINGA SECA,n/d,RS,Sul,1,6.4,Brasil,15743,0.683,0.419,0.542,0.828,0.709,660.14
292640,2926400,RIACHO DE SANTANA,n/d,BA,Nordeste,1,3.3,Brasil,30565,0.615,0.34,0.532,0.764,0.572,281.05
292630,2926301,RIACHÃO DO JACUÍPE,n/d,BA,Nordeste,1,3.0,Brasil,33115,0.628,0.392,0.559,0.755,0.588,311.47
521860,5218607,RIALMA,n/d,GO,Centro-Oeste,1,9.6,Brasil,10446,0.727,0.514,0.667,0.827,0.698,616.74
412190,4121901,RIBEIRÃO DO PINHAL,n/d,PR,Sul,1,7.5,Brasil,13393,0.701,0.4,0.611,0.824,0.684,563.87
354380,3543808,RINÓPOLIS,n/d,SP,Sudeste,1,10.1,Brasil,9923,0.723,0.434,0.644,0.843,0.696,606.9
412200,4122008,RIO AZUL,n/d,PR,Sul,1,7.2,Brasil,13899,0.687,0.352,0.544,0.819,0.728,740.31
500720,5007208,RIO BRILHANTE,n/d,MS,Centro-Oeste,1,3.3,Brasil,30201,0.715,0.474,0.59,0.861,0.72,705.6
315490,3154903,RIO CASCA,n/d,MG,Sudeste,1,7.1,Brasil,14046,0.65,0.352,0.519,0.813,0.651,460.2
421500,4215000,RIO NEGRINHO,n/d,SC,Sul,1,2.5,Brasil,39723,0.738,0.537,0.668,0.848,0.71,664.58
431570,4315701,RIO PARDO,n/d,RS,Sul,1,2.7,Brasil,37177,0.693,0.47,0.56,0.846,0.702,633.1
500740,5007406,RIO VERDE DE MATO GROSSO,n/d,MS,Centro-Oeste,1,5.3,Brasil,18706,0.673,0.373,0.521,0.852,0.686,570.74
431580,4315800,ROCA SALES,n/d,RS,Sul,1,9.8,Brasil,10252,0.729,0.426,0.602,0.853,0.753,865.23
431590,4315909,RODEIO BONITO,n/d,RS,Sul,1,17.5,Brasil,5718,0.732,0.427,0.636,0.842,0.733,767.63
412240,4122404,ROLÂNDIA,n/d,PR,Sul,1,1.7,Brasil,57734,0.739,0.54,0.661,0.821,0.744,819.52
431610,4316105,RONDA ALTA,n/d,RS,Sul,1,9.9,Brasil,10116,0.724,0.423,0.6,0.867,0.729,746.52
150618,1506187,RONDON DO PARÁ,n/d,PA,Norte,1,2.1,Brasil,46787,0.602,0.337,0.457,0.788,0.606,346.74
431640,4316402,ROSÁRIO DO SUL,n/d,RS,Sul,1,2.5,Brasil,39469,0.699,0.483,0.576,0.841,0.705,643.97
521890,5218904,RUBIATABA,n/d,GO,Centro-Oeste,1,5.3,Brasil,18768,0.719,0.466,0.666,0.814,0.686,573
231180,2311801,RUSSAS,n/d,CE,Nordeste,1,1.4,Brasil,69519,0.674,0.462,0.626,0.791,0.617,372.43
292720,2927200,RUY BARBOSA,n/d,BA,Nordeste,1,3.4,Brasil,29776,0.61,0.339,0.505,0.77,0.583,301.42
354500,3545001,SALESÓPOLIS,RM São Paulo,SP,Sudeste,1,6.4,Brasil,15565,0.732,0.527,0.69,0.829,0.687,576.55
412280,4122800,SALGADO FILHO,n/d,PR,Sul,1,22.7,Brasil,4401,0.7,0.363,0.604,0.831,0.682,557.15
315710,3157104,SALTO DA DIVISA,n/d,MG,Sudeste,1,14.6,Brasil,6850,0.608,0.281,0.453,0.846,0.586,306.04
431645,4316451,SALTO DO JACUÍ,n/d,RS,Sul,1,8.5,Brasil,11794,0.687,0.443,0.558,0.837,0.693,596.84
431660,4316600,SANANDUVA,n/d,RS,Sul,1,6.5,Brasil,15326,0.747,0.461,0.647,0.843,0.764,931.29
315720,3157203,SANTA BÁRBARA,n/d,MG,Sudeste,1,3.6,Brasil,27796,0.707,0.542,0.642,0.816,0.676,535.84
421550,4215505,SANTA CECÍLIA,n/d,SC,Sul,1,6.4,Brasil,15716,0.698,0.442,0.597,0.819,0.697,610.94
241120,2411205,SANTA CRUZ,n/d,RN,Nordeste,1,2.8,Brasil,35624,0.635,0.421,0.564,0.761,0.597,327.61
292770,2927705,SANTA CRUZ CABRÁLIA,n/d,BA,Nordeste,1,3.8,Brasil,26057,0.654,0.456,0.571,0.784,0.624,388.28
315733,3157336,SANTA CRUZ DE MINAS,n/d,MG,Sudeste,1,12.7,Brasil,7861,0.706,0.462,0.636,0.839,0.66,485.28
