Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
353470.0,3534708.0,OURINHOS,n/d,SP,Sudeste,8,7.78952698097408,Brasil,102702.0,0.778,0.601,0.727,0.859,0.753,868.91
431410.0,4314100.0,PASSO FUNDO,n/d,RS,Sul,8,4.36188367946698,Brasil,183407.0,0.776,0.663,0.699,0.849,0.787,1068.95
431440.0,4314407.0,PELOTAS,n/d,RS,Sul,8,2.44910454615031,Brasil,326650.0,0.739,0.58,0.632,0.844,0.758,894.35
315180.0,3151800.0,POÇOS DE CALDAS,n/d,MG,Sudeste,8,5.26967565146365,Brasil,151812.0,0.779,0.613,0.706,0.872,0.768,953.96
521880.0,5218805.0,RIO VERDE,n/d,GO,Centro-Oeste,8,4.55907997766051,Brasil,175474.0,0.754,0.556,0.656,0.853,0.765,936.75
510760.0,5107602.0,RONDONÓPOLIS,n/d,MT,Centro-Oeste,8,4.13575619717218,Brasil,193435.0,0.755,0.598,0.698,0.823,0.749,843.62
431690.0,4316907.0,SANTA MARIA,n/d,RS,Sul,8,3.09277951961402,Brasil,258667.0,0.784,0.683,0.715,0.848,0.795,1127.25
421580.0,4215802.0,SÃO BENTO DO SUL,n/d,SC,Sul,8,10.7378226380146,Brasil,74503.0,0.782,0.634,0.719,0.871,0.763,923.29
354890.0,3548906.0,SÃO CARLOS,n/d,SP,Sudeste,8,3.62538859634017,Brasil,220666.0,0.805,0.693,0.766,0.863,0.788,1079.45
355280.0,3552809.0,TABOÃO DA SERRA,RM São Paulo,SP,Sudeste,8,3.27891697372358,Brasil,243983.0,0.769,0.653,0.71,0.863,0.742,812.19
293135.0,2931350.0,TEIXEIRA DE FREITAS,n/d,BA,Nordeste,8,5.85411544315654,Brasil,136656.0,0.685,0.503,0.588,0.8,0.683,560.73
421820.0,4218202.0,TIMBÓ,n/d,SC,Sul,8,21.8567291404841,Brasil,36602.0,0.784,0.601,0.697,0.856,0.807,1214.03
317010.0,3170107.0,UBERABA,n/d,MG,Sudeste,8,2.73369691502303,Brasil,292644.0,0.772,0.63,0.705,0.845,0.772,978.01
410140.0,4101408.0,APUCARANA,n/d,PR,Sul,7,5.80980362863735,Brasil,120486.0,0.748,0.548,0.668,0.845,0.741,804.81
